isub = 0 2 - particle correlation:
 <d> = 0.00292726 <c> = 0.00292726 <v> = 0.121035
 <wd> = 0.0029289 <wc> = 0.0029289 <wv> = 0.11974
ipt = 0, 0 <= pt < 0.2
 <d> = 0 <c> = 0 <v> = 0
 <wd> = 0 <wc> = 0 <wv> = 0
ipt = 1, 0.2 <= pt < 0.4
 <d> = 0.00142765 <c> = 0.00142765 <v> = 0.00813712
 <wd> = 0.00142566 <wc> = 0.00142566 <wv> = 0.00847942
ipt = 2, 0.4 <= pt < 0.6
 <d> = 0.00196731 <c> = 0.00196731 <v> = 0.012117
 <wd> = 0.00195316 <wc> = 0.00195316 <wv> = 0.0121722
ipt = 3, 0.6 <= pt < 0.8
 <d> = 0.00258395 <c> = 0.00258395 <v> = 0.0151238
 <wd> = 0.0025825 <wc> = 0.0025825 <wv> = 0.0153864
ipt = 4, 0.8 <= pt < 1
 <d> = 0.00320627 <c> = 0.00320627 <v> = 0.0175167
 <wd> = 0.00317783 <wc> = 0.00317783 <wv> = 0.0181003
ipt = 5, 1 <= pt < 1.2
 <d> = 0.00365053 <c> = 0.00365053 <v> = 0.0177634
 <wd> = 0.00362821 <wc> = 0.00362821 <wv> = 0.0190064
ipt = 6, 1.2 <= pt < 1.4
 <d> = 0.00415423 <c> = 0.00415423 <v> = 0.0179318
 <wd> = 0.00419145 <wc> = 0.00419145 <wv> = 0.0196863
ipt = 7, 1.4 <= pt < 1.6
 <d> = 0.00455383 <c> = 0.00455383 <v> = 0.0173594
 <wd> = 0.00457095 <wc> = 0.00457095 <wv> = 0.0199003
ipt = 8, 1.6 <= pt < 1.8
 <d> = 0.00494416 <c> = 0.00494416 <v> = 0.0164789
 <wd> = 0.00498427 <wc> = 0.00498427 <wv> = 0.0190533
ipt = 9, 1.8 <= pt < 2
 <d> = 0.00520807 <c> = 0.00520807 <v> = 0.015799
 <wd> = 0.00518264 <wc> = 0.00518264 <wv> = 0.0180143
ipt = 10, 2 <= pt < 2.2
 <d> = 0.00536312 <c> = 0.00536312 <v> = 0.0146149
 <wd> = 0.00535429 <wc> = 0.00535429 <wv> = 0.0166292
ipt = 11, 2.2 <= pt < 2.4
 <d> = 0.00547709 <c> = 0.00547709 <v> = 0.0144129
 <wd> = 0.00549834 <wc> = 0.00549834 <wv> = 0.0164269
ipt = 12, 2.4 <= pt < 2.6
 <d> = 0.00567779 <c> = 0.00567779 <v> = 0.0133309
 <wd> = 0.00574745 <wc> = 0.00574745 <wv> = 0.0151223
ipt = 13, 2.6 <= pt < 2.8
 <d> = 0.00557421 <c> = 0.00557421 <v> = 0.0134385
 <wd> = 0.00562324 <wc> = 0.00562324 <wv> = 0.0145422
ipt = 14, 2.8 <= pt < 3
 <d> = 0.00587224 <c> = 0.00587224 <v> = 0.0131789
 <wd> = 0.0058643 <wc> = 0.0058643 <wv> = 0.0142218
ipt = 15, 3 <= pt < 3.2
 <d> = 0.00569369 <c> = 0.00569369 <v> = 0.013168
 <wd> = 0.00578459 <wc> = 0.00578459 <wv> = 0.0137345
ipt = 16, 3.2 <= pt < 3.4
 <d> = 0.00576166 <c> = 0.00576166 <v> = 0.0121832
 <wd> = 0.00580923 <wc> = 0.00580923 <wv> = 0.0130202
ipt = 17, 3.4 <= pt < 3.6
 <d> = 0.00634721 <c> = 0.00634721 <v> = 0.0126725
 <wd> = 0.00638281 <wc> = 0.00638281 <wv> = 0.0137112
ipt = 18, 3.6 <= pt < 3.8
 <d> = 0.00604358 <c> = 0.00604358 <v> = 0.0135153
 <wd> = 0.00599017 <wc> = 0.00599017 <wv> = 0.0131415
ipt = 19, 3.8 <= pt < 4
 <d> = 0.00490173 <c> = 0.00490173 <v> = 0.0110143
 <wd> = 0.00485178 <wc> = 0.00485178 <wv> = 0.0114921
isub = 0 4 - particle correlation:
 <d> = 7.91009e-06 <c> = -0.000706691 <v> = 0.135319
 <wd> = 7.79868e-06 <wc> = -0.000648585 <wv> = 0.132243
ipt = 0, 0 <= pt < 0.2
 <d> = 0 <c> = 0 <v> = 0
 <wd> = 0 <wc> = 0 <wv> = 0
ipt = 1, 0.2 <= pt < 0.4
 <d> = 3.57729e-06 <c> = -4.89707e-05 <v> = 0.00949569
 <wd> = 3.97193e-06 <wc> = -4.7923e-05 <wv> = 0.00963713
ipt = 2, 0.4 <= pt < 0.6
 <d> = 6.49527e-06 <c> = -6.91842e-05 <v> = 0.0130056
